"Time [s]";"Pressure [mmHg]";
8.05;132.16;
8.06;125.59;
8.07;133.92;
8.08;132.25;
8.09;125.53;
8.10;133.72;
8.11;133.12;
8.12;125.20;
8.13;132.91;
8.14;133.00;
8.15;125.39;
8.16;132.48;
8.17;133.69;
8.18;125.64;
8.19;132.19;
8.20;133.45;
8.21;125.84;
8.22;132.36;
8.23;133.55;
8.24;125.67;
8.25;132.38;
8.26;133.19;
8.27;125.28;
8.28;130.78;
8.29;134.66;
8.30;126.09;
8.31;128.73;
8.32;135.28;
8.33;127.36;
8.34;126.94;
8.35;134.89;
8.36;129.09;
8.37;125.86;
8.38;133.84;
8.39;131.53;
8.40;127.70;
8.41;133.17;
8.42;130.38;
8.43;128.12;
8.44;134.22;
8.45;130.11;
8.46;127.52;
8.47;134.48;
8.48;129.67;
8.49;127.62;
8.50;133.83;
8.51;129.36;
8.52;127.12;
8.53;134.09;
8.54;129.80;
8.55;127.39;
8.56;133.77;
8.57;129.53;
8.58;127.05;
8.59;134.11;
8.60;130.73;
8.61;125.73;
8.62;133.17;
8.63;133.03;
8.64;125.30;
8.65;131.52;
8.66;135.22;
8.67;127.00;
8.68;128.27;
8.69;134.58;
8.70;127.88;
8.71;128.00;
8.72;133.83;
8.73;128.42;
8.74;127.61;
8.75;133.69;
8.76;132.72;
8.77;125.92;
8.78;131.39;
8.79;133.09;
8.80;126.38;
8.81;132.06;
8.82;140.30;
8.83;141.25;
8.84;142.98;
8.85;149.23;
8.86;152.47;
8.87;153.38;
8.88;152.53;
8.89;152.09;
8.90;153.22;
8.91;153.03;
8.92;152.11;
8.93;152.73;
8.94;153.14;
8.95;152.64;
8.96;152.34;
8.97;152.91;
8.98;153.00;
8.99;152.58;
9.00;152.73;
9.01;152.97;
9.02;152.61;
9.03;152.62;
9.04;152.91;
9.05;152.78;
9.06;152.58;
9.07;152.55;
9.08;152.80;
9.09;152.89;
9.10;152.67;
9.11;152.52;
9.12;152.61;
9.13;152.78;
9.14;152.69;
9.15;152.66;
9.16;152.59;
9.17;152.78;
9.18;152.58;
9.19;152.64;
9.20;152.58;
9.21;152.61;
9.22;152.86;
9.23;152.62;
9.24;152.62;
9.25;153.03;
9.26;152.97;
9.27;152.98;
9.28;153.00;
9.29;152.88;
9.30;152.97;
9.31;152.58;
9.32;152.25;
9.33;152.12;
9.34;152.70;
9.35;152.55;
9.36;152.16;
9.37;152.39;
9.38;152.44;
9.39;152.59;
9.40;152.55;
9.41;152.36;
9.42;152.17;
9.43;152.56;
9.44;152.53;
9.45;152.36;
9.46;152.34;
9.47;152.31;
9.48;152.33;
9.49;152.59;
9.50;152.61;
9.51;152.44;
9.52;152.44;
9.53;152.45;
9.54;152.58;
9.55;152.56;
9.56;152.48;
9.57;152.58;
9.58;152.64;
9.59;152.45;
9.60;152.36;
9.61;152.47;
9.62;152.62;
9.63;152.47;
9.64;152.33;
9.65;151.84;
9.66;151.34;
9.67;151.17;
9.68;150.83;
9.69;150.27;
9.70;150.08;
9.71;150.20;
9.72;150.31;
9.73;150.36;
9.74;150.17;
9.75;150.16;
9.76;150.34;
9.77;150.36;
9.78;150.34;
9.79;150.14;
9.80;150.38;
9.81;150.42;
9.82;150.22;
9.83;150.28;
9.84;150.34;
9.85;150.27;
9.86;150.30;
9.87;150.25;
9.88;150.25;
9.89;150.28;
9.90;150.41;
9.91;150.20;
9.92;150.34;
9.93;150.16;
9.94;150.28;
9.95;150.47;
9.96;150.27;
9.97;150.27;
9.98;150.27;
9.99;150.16;
10.00;150.39;
10.01;150.31;
10.02;150.34;
10.03;150.47;
10.04;150.56;
10.05;150.56;
10.06;150.59;
10.07;150.86;
10.08;150.77;
10.09;150.38;
10.10;150.59;
10.11;150.47;
10.12;149.94;
10.13;149.97;
10.14;150.20;
10.15;150.30;
10.16;150.11;
10.17;149.95;
10.18;149.98;
10.19;150.27;
10.20;150.16;
10.21;150.09;
10.22;150.20;
10.23;150.27;
10.24;150.03;
10.25;150.19;
10.26;150.30;
10.27;150.16;
10.28;150.28;
10.29;150.23;
10.30;150.27;
10.31;150.33;
10.32;150.45;
10.33;150.36;
10.34;150.25;
10.35;150.41;
10.36;150.28;
10.37;150.33;
10.38;150.34;
10.39;150.31;
10.40;150.39;
10.41;150.23;
10.42;150.20;
10.43;150.42;
10.44;150.50;
10.45;152.42;
10.46;154.55;
10.47;154.77;
10.48;155.88;
10.49;157.94;
10.50;158.70;
10.51;157.31;
10.52;157.16;
10.53;158.28;
10.54;158.22;
10.55;157.52;
10.56;157.64;
10.57;158.06;
10.58;158.02;
10.59;157.86;
10.60;157.70;
10.61;157.81;
10.62;158.02;
10.63;157.89;
10.64;158.00;
10.65;158.06;
10.66;157.66;
10.67;157.97;
10.68;157.92;
10.69;157.84;
10.70;157.91;
10.71;158.03;
10.72;157.83;
10.73;157.91;
10.74;157.97;
10.75;157.92;
10.76;157.97;
10.77;157.86;
10.78;157.81;
10.79;158.00;
10.80;158.11;
10.81;158.05;
10.82;158.14;
10.83;158.28;
10.84;158.05;
10.85;158.42;
10.86;158.53;
10.87;158.00;
10.88;157.80;
10.89;158.05;
10.90;157.86;
10.91;157.59;
10.92;157.67;
10.93;157.86;
10.94;157.77;
10.95;157.80;
10.96;157.77;
10.97;157.78;
10.98;157.70;
10.99;157.80;
11.00;157.91;
11.01;157.84;
11.02;157.78;
11.03;157.77;
11.04;157.72;
11.05;157.92;
11.06;157.80;
11.07;157.94;
11.08;157.95;
11.09;157.83;
11.10;157.80;
11.11;158.05;
11.12;158.03;
11.13;158.03;
11.14;157.92;
11.15;157.92;
11.16;157.84;
11.17;157.94;
11.18;157.95;
11.19;157.88;
11.20;157.83;
11.21;155.14;
11.22;145.45;
11.23;152.31;
11.24;155.83;
11.25;147.19;
11.26;151.08;
11.27;156.19;
11.28;149.02;
11.29;150.45;
11.30;155.59;
11.31;150.42;
11.32;150.03;
11.33;154.72;
11.34;151.59;
11.35;150.75;
11.36;154.47;
11.37;154.88;
11.38;149.14;
11.39;151.89;
11.40;155.33;
11.41;150.47;
11.42;150.39;
11.43;155.42;
11.44;153.95;
11.45;147.62;
11.46;153.23;
11.47;154.86;
11.48;148.02;
11.49;152.47;
11.50;155.30;
11.51;149.39;
11.52;152.31;
11.53;155.08;
11.54;150.19;
11.55;151.53;
11.56;155.08;
11.57;150.78;
11.58;150.73;
11.59;155.44;
11.60;154.22;
11.61;147.88;
11.62;153.88;
11.63;155.00;
11.64;148.39;
11.65;153.52;
11.66;155.34;
11.67;149.97;
11.68;153.19;
11.69;155.19;
11.70;149.42;
11.71;151.70;
11.72;155.86;
11.73;152.44;
11.74;148.22;
11.75;154.39;
11.76;154.14;
11.77;148.62;
11.78;153.02;
11.79;155.77;
11.80;150.94;
11.81;152.88;
11.82;154.67;
11.83;153.33;
11.84;150.33;
11.85;153.22;
11.86;154.11;
11.87;151.75;
11.88;151.44;
11.89;153.84;
11.90;153.48;
11.91;152.97;
11.92;152.06;
11.93;152.52;
11.94;153.14;
11.95;152.75;
