経過時間_秒, A, HR, Mean, Phi, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, output_valid, reject_reason
63.296, 4.7474, 75.1224, 5.2255, 2.4843, 131.17, 88.95, 0.6109, -0.7917, -3.7584, 2.9004, 0.5509, 809.0000, 799.3940, 1, 25, 0.3936, 9.8439, 9.4503, 3.4018, 0.5352, 0.4648, 131.17, 88.95, 131.17, 88.95, 0, 0, 1, ok
63.998, 4.6672, 79.9096, 5.8016, 2.3072, 126.75, 85.24, 0.7409, -0.6716, -3.1345, 3.4580, 0.6643, 802.0000, 798.6970, 1, 25, 0.4335, 9.8576, 9.4241, 3.3664, 0.5449, 0.4551, 126.75, 85.24, 126.75, 85.24, 0, 0, 1, ok
64.801, 3.9102, 77.2276, 6.7411, 2.1631, 118.58, 80.60, 0.8297, -0.5583, -2.1829, 3.2442, 1.2089, 802.0000, 750.8485, 1, 25, 0.5379, 9.8348, 9.2968, 3.0177, 0.5848, 0.4152, 118.58, 80.60, 118.58, 80.60, 0, 0, 1, ok
65.568, 4.3116, 77.7744, 6.1371, 2.2032, 122.23, 82.44, 0.8066, -0.5911, -2.5486, 3.4777, 0.9319, 697.0000, 776.9243, 1, 22, 0.3953, 9.7682, 9.3729, 3.1880, 0.5753, 0.4247, 122.23, 82.44, 122.23, 82.44, 0, 0, 1, ok
66.269, 4.7186, 81.4408, 5.6140, 2.2052, 124.21, 83.98, 0.8054, -0.5927, -2.7969, 3.8004, 0.6609, 805.0000, 771.4621, 1, 25, 0.3124, 9.8058, 9.4934, 3.4014, 0.5429, 0.4571, 124.21, 83.98, 124.21, 83.98, 0, 0, 1, ok
67.074, 4.5551, 77.8346, 5.8253, 2.2355, 123.14, 84.57, 0.7871, -0.6169, -2.8099, 3.5852, 0.7617, 763.0000, 736.7311, 1, 24, 0.3447, 9.8009, 9.4561, 3.3098, 0.5583, 0.4417, 123.14, 84.57, 123.14, 84.57, 0, 0, 1, ok
67.838, 4.1396, 78.1827, 5.9753, 2.1654, 120.60, 81.47, 0.8284, -0.5601, -2.3188, 3.4292, 1.0267, 704.0000, 770.8655, 1, 22, 0.3326, 9.7615, 9.4289, 3.1020, 0.5696, 0.4304, 120.60, 81.47, 120.60, 81.47, 0, 0, 1, ok
68.609, 4.8869, 78.0522, 4.8239, 2.4033, 129.58, 88.72, 0.6730, -0.7396, -3.6145, 3.2889, 0.5869, 812.0000, 767.4328, 1, 25, 0.3945, 9.8200, 9.4255, 3.5050, 0.5443, 0.4557, 129.58, 88.72, 129.58, 88.72, 0, 0, 1, ok
69.362, 3.7177, 78.8583, 6.8292, 2.1716, 118.34, 79.92, 0.8249, -0.5653, -2.1016, 3.0667, 1.0562, 754.0000, 768.7164, 1, 24, 0.7813, 9.8390, 9.0578, 2.8331, 0.5743, 0.4257, 118.34, 79.92, 118.34, 79.92, 0, 0, 1, ok
70.015, 3.7827, 84.8142, 6.8714, 2.1297, 117.47, 79.35, 0.8478, -0.5302, -2.0057, 3.2072, 1.2235, 772.0000, 760.8582, 1, 24, 0.5272, 9.8473, 9.3201, 2.9413, 0.5544, 0.4456, 117.47, 79.35, 117.47, 79.35, 0, 0, 1, ok
70.750, 4.1980, 83.2507, 6.2318, 2.3009, 121.96, 85.12, 0.7451, -0.6670, -2.7999, 3.1279, 1.0125, 735.0000, 707.4291, 1, 23, 0.3977, 9.7343, 9.3366, 3.1363, 0.5850, 0.4150, 121.96, 85.12, 121.96, 85.12, 0, 0, 1, ok
71.585, 3.7072, 77.0854, 6.2483, 2.3335, 120.91, 84.22, 0.7230, -0.6909, -2.5612, 2.6803, 0.9240, 672.0000, 720.7145, 1, 21, 0.7483, 9.7193, 8.9710, 2.7795, 0.5580, 0.4420, 120.91, 84.22, 120.91, 84.22, 0, 0, 1, ok
72.356, 4.5310, 77.5015, 4.8957, 2.1689, 123.20, 83.22, 0.8264, -0.5631, -2.5512, 3.7445, 0.5110, 735.0000, 778.3573, 1, 23, 0.3415, 9.6896, 9.3481, 3.2444, 0.5456, 0.4544, 123.20, 83.22, 123.20, 83.22, 0, 0, 1, ok
73.118, 3.8889, 78.1159, 4.5782, 2.2075, 121.38, 82.65, 0.8041, -0.5945, -2.3121, 3.1270, 0.6874, 833.0000, 774.1786, 1, 26, 0.2800, 8.4945, 8.2145, 2.8345, 0.5678, 0.4322, 121.38, 82.65, 121.38, 82.65, 0, 0, 1, ok
73.956, 3.7637, 74.6692, 4.0746, 2.6119, 129.37, 89.75, 0.5052, -0.8630, -3.2480, 1.9016, 0.5656, 767.0000, 768.0893, 1, 24, 0.2958, 8.6386, 8.3428, 2.7208, 0.5580, 0.4420, 129.37, 89.75, 129.37, 89.75, 0, 0, 1, ok
74.667, 4.7927, 79.2317, 4.3825, 2.5966, 134.17, 91.37, 0.5184, -0.8551, -4.0983, 2.4848, 0.9367, 771.0000, 803.5447, 1, 24, 0.2423, 9.8360, 9.5937, 3.5160, 0.5655, 0.4345, 134.17, 91.37, 134.17, 91.37, 0, 0, 1, ok
