session_id,elapsed_s,sample_index,effective_rate_hz,waveform_label,wave_bpm,peak_like,trough_like
cnap_20260402_165206,219.901083250,21991,100.004054891,ch2,136.191677175,199.052631579,195.944444444
cnap_20260402_165206,220.910928291,22092,100.004106501,ch2,131.612903226,199.055555556,196.000000000
cnap_20260402_165206,221.920118333,22193,100.004452804,ch2,134.920634921,199.111111111,196.000000000
cnap_20260402_165206,222.932103041,22294,100.003542316,ch2,136.708860759,199.105263158,196.000000000
cnap_20260402_165206,223.941244375,22395,100.003909787,ch2,133.507853403,199.111111111,196.000000000
cnap_20260402_165206,224.951891458,22496,100.003604567,ch2,134.920634921,199.111111111,196.000000000
cnap_20260402_165206,225.961600041,22597,100.003717428,ch2,140.077821012,199.105263158,196.000000000
cnap_20260402_165206,226.971754625,22698,100.003632776,ch2,140.259740260,199.052631579,196.000000000
cnap_20260402_165206,227.981925625,22799,100.003541673,ch2,136.191677175,199.052631579,196.000000000
cnap_20260402_165206,228.991996708,22900,100.003495009,ch2,138.639281130,199.052631579,196.000000000
cnap_20260402_165206,230.000108625,23001,100.004300596,ch2,138.817480720,199.000000000,196.055555556
cnap_20260402_165206,231.012165375,23102,100.003391434,ch2,134.564643799,199.000000000,196.000000000
cnap_20260402_165206,232.020251041,23203,100.004201771,ch2,135.508155583,199.000000000,196.000000000
cnap_20260402_165206,233.021453166,23303,100.003667831,ch2,134.034165572,199.000000000,196.058823529
cnap_20260402_165206,234.030889333,23404,100.003892934,ch2,134.387351779,199.000000000,196.000000000
cnap_20260402_165206,235.031906666,23504,100.003443504,ch2,129.770992366,199.055555556,196.000000000
cnap_20260402_165206,236.041467625,23605,100.003614778,ch2,124.675324675,199.058823529,196.062500000
cnap_20260402_165206,237.052132208,23706,100.003319013,ch2,128.463476071,199.055555556,196.000000000
cnap_20260402_165206,238.060775500,23807,100.003874851,ch2,131.274131274,199.055555556,195.941176471
cnap_20260402_165206,239.071213250,23908,100.003675369,ch2,132.985658409,199.055555556,195.941176471
cnap_20260402_165206,240.081807875,24009,100.003412222,ch2,135.849056604,199.052631579,195.944444444
cnap_20260402_165206,241.090669833,24110,100.003869983,ch2,129.606099111,199.055555556,195.941176471
cnap_20260402_165206,242.090658708,24210,100.003858592,ch2,131.105398458,199.055555556,195.941176471
cnap_20260402_165206,243.102061708,24311,100.003265415,ch2,136.546184739,199.000000000,195.882352941
cnap_20260402_165206,245.121952500,24513,100.003283060,ch2,105.263157895,383.000000000,360.000000000
cnap_20260402_165206,246.130539000,24614,100.003843895,ch2,82.949308756,385.500000000,349.333333333
cnap_20260402_165206,247.141333083,24715,100.003506867,ch2,91.743119266,382.000000000,352.600000000
cnap_20260402_165206,248.151036625,24816,100.003612064,ch2,88.888888889,380.571428571,350.500000000
cnap_20260402_165206,249.161779166,24917,100.003299396,ch2,81.553398058,384.000000000,347.428571429
cnap_20260402_165206,250.171733750,25018,100.003304230,ch2,86.261980831,382.000000000,349.222222222
cnap_20260402_165206,251.181451541,25119,100.003403300,ch2,81.855388813,384.727272727,347.800000000
cnap_20260402_165206,252.212197375,25222,100.003093675,ch2,81.521739130,384.363636364,347.400000000
cnap_20260402_165206,253.221457625,25323,100.003373480,ch2,80.971659919,384.545454545,347.800000000
cnap_20260402_165206,254.231883500,25424,100.003192558,ch2,79.155672823,386.545454545,350.000000000
cnap_20260402_165206,255.241468416,25525,100.003342554,ch2,80.321285141,387.000000000,350.200000000
cnap_20260402_165206,256.250777750,25626,100.003598916,ch2,80.971659919,387.909090909,351.100000000
