経過時間,現在時刻,計測回数,Beat Sys [mmHg],Beat Mean [mmHg],Beat Dia [mmHg],Beat HR [bpm]
101.421462833,2026-04-02T17:16:03,121,471.000000000,201.000000000,1020.000000000,1019.000000000
102.151457500,2026-04-02T17:16:04,122,512.000000000,201.000000000,1021.000000000,1020.000000000
102.830676375,2026-04-02T17:16:05,123,504.000000000,202.000000000,1021.000000000,1021.000000000
103.551410875,2026-04-02T17:16:05,124,496.000000000,202.000000000,1021.000000000,1020.000000000
104.181448083,2026-04-02T17:16:06,125,494.000000000,201.000000000,1021.000000000,1020.000000000
105.633456583,2026-04-02T17:16:07,126,483.000000000,200.000000000,1020.000000000,1020.000000000
106.351115125,2026-04-02T17:16:08,127,467.000000000,201.000000000,1021.000000000,1020.000000000
107.154494417,2026-04-02T17:16:09,128,455.000000000,201.000000000,1021.000000000,1021.000000000
107.831631833,2026-04-02T17:16:10,129,473.000000000,201.000000000,1021.000000000,1019.000000000
108.571500292,2026-04-02T17:16:10,130,479.000000000,200.000000000,1023.000000000,1020.000000000
109.331410792,2026-04-02T17:16:11,131,500.000000000,201.000000000,1020.000000000,1020.000000000
110.040554000,2026-04-02T17:16:12,132,479.000000000,201.000000000,1019.000000000,1021.000000000
110.811442333,2026-04-02T17:16:13,133,505.000000000,201.000000000,1020.000000000,1020.000000000
111.441539958,2026-04-02T17:16:13,134,511.000000000,201.000000000,1019.000000000,1021.000000000
112.291449208,2026-04-02T17:16:14,135,522.000000000,200.000000000,1019.000000000,1020.000000000
112.970787500,2026-04-02T17:16:15,136,489.000000000,201.000000000,1022.000000000,1021.000000000
113.676112292,2026-04-02T17:16:15,137,505.000000000,201.000000000,1020.000000000,1021.000000000
114.392987375,2026-04-02T17:16:16,138,527.000000000,200.000000000,1021.000000000,1019.000000000
115.070192000,2026-04-02T17:16:17,139,528.000000000,201.000000000,1021.000000000,1020.000000000
115.781451250,2026-04-02T17:16:18,140,504.000000000,201.000000000,1020.000000000,1020.000000000
116.561525250,2026-04-02T17:16:18,141,487.000000000,200.000000000,1019.000000000,1021.000000000
117.211432250,2026-04-02T17:16:19,142,543.000000000,200.000000000,1020.000000000,1020.000000000
117.931390833,2026-04-02T17:16:20,143,477.000000000,200.000000000,1021.000000000,1021.000000000
118.741422458,2026-04-02T17:16:21,144,514.000000000,200.000000000,1020.000000000,1021.000000000
119.512582167,2026-04-02T17:16:21,145,526.000000000,200.000000000,1020.000000000,1020.000000000
120.308093375,2026-04-02T17:16:22,146,510.000000000,201.000000000,1021.000000000,1021.000000000
120.950992292,2026-04-02T17:16:23,147,526.000000000,200.000000000,1020.000000000,1021.000000000
121.851640125,2026-04-02T17:16:24,148,567.000000000,201.000000000,1020.000000000,1021.000000000
122.335564750,2026-04-02T17:16:24,149,513.000000000,201.000000000,1020.000000000,1021.000000000
122.969167083,2026-04-02T17:16:25,150,492.000000000,201.000000000,1020.000000000,1020.000000000
123.681521208,2026-04-02T17:16:25,151,460.000000000,201.000000000,1021.000000000,1019.000000000
124.221131250,2026-04-02T17:16:26,152,485.000000000,201.000000000,1019.000000000,1021.000000000
124.841419667,2026-04-02T17:16:27,153,504.000000000,200.000000000,1020.000000000,1020.000000000
125.451387167,2026-04-02T17:16:27,154,523.000000000,201.000000000,1021.000000000,1021.000000000
126.101436292,2026-04-02T17:16:28,155,555.000000000,200.000000000,1021.000000000,1020.000000000
126.781050083,2026-04-02T17:16:29,156,542.000000000,202.000000000,1020.000000000,1021.000000000
127.462775542,2026-04-02T17:16:29,157,533.000000000,201.000000000,1020.000000000,1021.000000000
128.121417542,2026-04-02T17:16:30,158,509.000000000,201.000000000,1020.000000000,1019.000000000
128.761059875,2026-04-02T17:16:31,159,493.000000000,200.000000000,1021.000000000,1021.000000000
129.401410333,2026-04-02T17:16:31,160,503.000000000,201.000000000,1021.000000000,1020.000000000
130.103581750,2026-04-02T17:16:32,161,513.000000000,201.000000000,1021.000000000,1021.000000000
130.751383167,2026-04-02T17:16:33,162,519.000000000,201.000000000,1019.000000000,1019.000000000
131.438879917,2026-04-02T17:16:33,163,507.000000000,200.000000000,1020.000000000,1020.000000000
132.141464833,2026-04-02T17:16:34,164,501.000000000,201.000000000,1020.000000000,1020.000000000
132.801474542,2026-04-02T17:16:35,165,494.000000000,200.000000000,1021.000000000,1020.000000000
133.491419875,2026-04-02T17:16:35,166,482.000000000,201.000000000,1021.000000000,1021.000000000
134.131488875,2026-04-02T17:16:36,167,474.000000000,201.000000000,1019.000000000,1020.000000000
134.751370167,2026-04-02T17:16:37,168,484.000000000,201.000000000,1020.000000000,1020.000000000
135.351439500,2026-04-02T17:16:37,169,519.000000000,200.000000000,1019.000000000,1021.000000000
136.051386875,2026-04-02T17:16:38,170,520.000000000,202.000000000,1021.000000000,1020.000000000
136.651380625,2026-04-02T17:16:38,171,521.000000000,200.000000000,1020.000000000,1021.000000000
138.537526500,2026-04-02T17:16:40,172,477.000000000,200.000000000,1021.000000000,1020.000000000
139.141453583,2026-04-02T17:16:41,173,487.000000000,201.000000000,1021.000000000,1022.000000000
139.710908958,2026-04-02T17:16:42,174,508.000000000,201.000000000,1021.000000000,1019.000000000
140.320470875,2026-04-02T17:16:42,175,517.000000000,201.000000000,1018.000000000,1021.000000000
140.970623333,2026-04-02T17:16:43,176,535.000000000,200.000000000,1020.000000000,1021.000000000
141.570619750,2026-04-02T17:16:43,177,542.000000000,201.000000000,1020.000000000,1021.000000000
142.212425792,2026-04-02T17:16:44,178,518.000000000,200.000000000,1021.000000000,1021.000000000
142.861512000,2026-04-02T17:16:45,179,511.000000000,201.000000000,1021.000000000,1021.000000000
143.540598042,2026-04-02T17:16:45,180,519.000000000,200.000000000,1020.000000000,1020.000000000
144.120035000,2026-04-02T17:16:46,181,535.000000000,201.000000000,1017.000000000,1020.000000000
144.851587917,2026-04-02T17:16:47,182,546.000000000,202.000000000,1019.000000000,1021.000000000
145.570423333,2026-04-02T17:16:47,183,497.000000000,201.000000000,1019.000000000,1019.000000000
146.271361542,2026-04-02T17:16:48,184,461.000000000,200.000000000,1020.000000000,1021.000000000
147.071602375,2026-04-02T17:16:49,185,489.000000000,203.000000000,1021.000000000,1021.000000000
147.703924292,2026-04-02T17:16:50,186,497.000000000,202.000000000,1020.000000000,1020.000000000
148.428831250,2026-04-02T17:16:50,187,498.000000000,200.000000000,1021.000000000,1021.000000000
149.151297375,2026-04-02T17:16:51,188,487.000000000,201.000000000,1021.000000000,1021.000000000
149.891626417,2026-04-02T17:16:52,189,496.000000000,201.000000000,1019.000000000,1021.000000000
150.551214417,2026-04-02T17:16:52,190,507.000000000,201.000000000,1018.000000000,1021.000000000
151.251323458,2026-04-02T17:16:53,191,516.000000000,200.000000000,1019.000000000,1022.000000000
151.911266708,2026-04-02T17:16:54,192,508.000000000,200.000000000,1020.000000000,1021.000000000
152.611630667,2026-04-02T17:16:54,193,503.000000000,201.000000000,1021.000000000,1022.000000000
153.311422625,2026-04-02T17:16:55,194,506.000000000,201.000000000,1021.000000000,1021.000000000
154.051428792,2026-04-02T17:16:56,195,502.000000000,202.000000000,1021.000000000,1020.000000000
154.871680500,2026-04-02T17:16:57,196,509.000000000,200.000000000,1019.000000000,1020.000000000
155.751464250,2026-04-02T17:16:58,197,501.000000000,201.000000000,1021.000000000,1020.000000000
156.481488042,2026-04-02T17:16:58,198,480.000000000,201.000000000,1019.000000000,1020.000000000
157.260171750,2026-04-02T17:16:59,199,495.000000000,201.000000000,1019.000000000,1019.000000000
157.990981000,2026-04-02T17:17:00,200,495.000000000,200.000000000,1020.000000000,1021.000000000
158.581460833,2026-04-02T17:17:00,201,502.000000000,201.000000000,1021.000000000,1021.000000000
159.278555667,2026-04-02T17:17:01,202,516.000000000,200.000000000,1018.000000000,1020.000000000
159.991406667,2026-04-02T17:17:02,203,515.000000000,200.000000000,1020.000000000,1019.000000000
160.591149625,2026-04-02T17:17:02,204,507.000000000,200.000000000,1020.000000000,1023.000000000
161.401326750,2026-04-02T17:17:03,205,507.000000000,201.000000000,1020.000000000,1020.000000000
162.130443292,2026-04-02T17:17:04,206,506.000000000,200.000000000,1020.000000000,1022.000000000
162.531445042,2026-04-02T17:17:04,207,507.000000000,200.000000000,1021.000000000,1020.000000000
163.431419167,2026-04-02T17:17:05,208,506.000000000,203.000000000,1018.000000000,1021.000000000
163.881407292,2026-04-02T17:17:06,209,506.000000000,200.000000000,1021.000000000,1020.000000000
164.301450208,2026-04-02T17:17:06,210,679.000000000,679.000000000,1021.000000000,1021.000000000
164.731545042,2026-04-02T17:17:07,211,678.000000000,679.000000000,1020.000000000,1019.000000000
173.602553792,2026-04-02T17:17:15,212,498.000000000,202.000000000,1019.000000000,1020.000000000
174.321407958,2026-04-02T17:17:16,213,488.000000000,201.000000000,1020.000000000,1021.000000000
175.041585500,2026-04-02T17:17:17,214,504.000000000,200.000000000,1020.000000000,1020.000000000
175.840674667,2026-04-02T17:17:18,215,519.000000000,201.000000000,1019.000000000,1021.000000000
176.451448333,2026-04-02T17:17:18,216,511.000000000,201.000000000,1021.000000000,1021.000000000
177.151360292,2026-04-02T17:17:19,217,535.000000000,200.000000000,1021.000000000,1020.000000000
177.831442542,2026-04-02T17:17:20,218,598.000000000,200.000000000,1020.000000000,1019.000000000
178.547156667,2026-04-02T17:17:20,219,494.000000000,200.000000000,1020.000000000,1020.000000000
179.201342792,2026-04-02T17:17:21,220,494.000000000,200.000000000,1020.000000000,1018.000000000
179.862310458,2026-04-02T17:17:22,221,501.000000000,201.000000000,1020.000000000,1021.000000000
180.501213917,2026-04-02T17:17:22,222,507.000000000,201.000000000,1019.000000000,1021.000000000
181.751455250,2026-04-02T17:17:24,223,425.000000000,202.000000000,1019.000000000,1021.000000000
182.380172458,2026-04-02T17:17:24,224,443.000000000,200.000000000,1020.000000000,1020.000000000
183.020291500,2026-04-02T17:17:25,225,467.000000000,200.000000000,1019.000000000,1021.000000000
183.611217458,2026-04-02T17:17:25,226,459.000000000,202.000000000,1019.000000000,1019.000000000
184.250421417,2026-04-02T17:17:26,227,499.000000000,201.000000000,1020.000000000,1019.000000000
184.901416750,2026-04-02T17:17:27,228,507.000000000,202.000000000,1020.000000000,1020.000000000
185.581208417,2026-04-02T17:17:27,229,495.000000000,202.000000000,1021.000000000,1021.000000000
186.212801208,2026-04-02T17:17:28,230,489.000000000,200.000000000,1020.000000000,1021.000000000
186.891440042,2026-04-02T17:17:29,231,517.000000000,200.000000000,1020.000000000,1021.000000000
187.597497083,2026-04-02T17:17:29,232,507.000000000,201.000000000,1021.000000000,1021.000000000
188.251515333,2026-04-02T17:17:30,233,511.000000000,201.000000000,1020.000000000,1019.000000000
188.901445125,2026-04-02T17:17:31,234,515.000000000,201.000000000,1021.000000000,1022.000000000
189.630852750,2026-04-02T17:17:31,235,540.000000000,201.000000000,1021.000000000,1021.000000000
190.311292333,2026-04-02T17:17:32,236,493.000000000,200.000000000,1019.000000000,1021.000000000
190.961241625,2026-04-02T17:17:33,237,470.000000000,201.000000000,1020.000000000,1020.000000000
191.634172625,2026-04-02T17:17:33,238,491.000000000,201.000000000,1021.000000000,1019.000000000
192.231450958,2026-04-02T17:17:34,239,503.000000000,200.000000000,1021.000000000,1021.000000000
192.901518167,2026-04-02T17:17:35,240,506.000000000,201.000000000,1021.000000000,1020.000000000
193.600816542,2026-04-02T17:17:35,241,486.000000000,201.000000000,1019.000000000,1019.000000000
194.168037333,2026-04-02T17:17:36,242,496.000000000,201.000000000,1019.000000000,1019.000000000
194.773457208,2026-04-02T17:17:37,243,512.000000000,200.000000000,1017.000000000,1021.000000000
195.431229292,2026-04-02T17:17:37,244,512.000000000,202.000000000,1021.000000000,1020.000000000
196.036422375,2026-04-02T17:17:38,245,517.000000000,201.000000000,1021.000000000,1020.000000000
196.571463167,2026-04-02T17:17:38,246,519.000000000,201.000000000,1021.000000000,1019.000000000
197.171257958,2026-04-02T17:17:39,247,516.000000000,201.000000000,1021.000000000,1020.000000000
197.801360792,2026-04-02T17:17:40,248,508.000000000,201.000000000,1019.000000000,1019.000000000
198.461563250,2026-04-02T17:17:40,249,527.000000000,202.000000000,1021.000000000,1021.000000000
199.091492708,2026-04-02T17:17:41,250,554.000000000,201.000000000,1020.000000000,1019.000000000
199.861419458,2026-04-02T17:17:42,251,537.000000000,200.000000000,1020.000000000,1022.000000000
200.491372375,2026-04-02T17:17:42,252,526.000000000,200.000000000,1019.000000000,1019.000000000
201.254268333,2026-04-02T17:17:43,253,513.000000000,200.000000000,1021.000000000,1021.000000000
201.871420500,2026-04-02T17:17:44,254,498.000000000,202.000000000,1019.000000000,1021.000000000
202.573917250,2026-04-02T17:17:44,255,524.000000000,200.000000000,1019.000000000,1021.000000000
203.231588292,2026-04-02T17:17:45,256,504.000000000,201.000000000,1021.000000000,1021.000000000
203.891191708,2026-04-02T17:17:46,257,531.000000000,201.000000000,1021.000000000,1020.000000000
